finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,56,18,31,48,-2.07,84.26,70.1,-66.43,35.59,19.54,0.35,9.67,0.97,-0.05,0.02,0.05,9.66,2.45,3.43,-0.07,-0.03,-0.02
91,56,50,40,43,-1.66,84.97,71.71,-66.03,36.82,19.59,0.28,9.56,0.84,-0.07,0.04,0.03,9.53,2.54,3.39,-0.08,-0.02,0.01
91,56,42,40,25,-3.3,84.72,57.9,-66.25,38.96,18.89,0.55,9.45,0.87,-0.05,0.06,0.02,9.35,2.59,3.2,-0.08,0.01,0
91,56,28,15,27,-3.19,84.62,59.29,-67.32,37.85,18.27,0.53,9.46,0.89,-0.06,0.05,0.05,9.5,2.44,3.14,-0.07,-0.02,0
91,56,34,0,36,-2.84,85.09,59.86,-66.54,38.42,18.78,0.46,9.18,0.79,-0.06,0.04,0.05,9.23,2.49,3.14,-0.05,-0.01,-0.01
91,56,26,-9,28,-3.13,84.01,62.37,-67.49,37.55,18.19,0.51,9.23,0.97,-0.03,0.04,0.04,9.39,2.37,3.08,-0.06,-0.01,-0.03
91,56,16,-9,7,-3.53,83.72,60.56,-67.8,37.09,18.03,0.58,9.29,1.02,-0.01,0.05,0.06,9.47,2.33,3.08,-0.04,-0.01,-0.05
91,56,38,-13,9,-1.74,84.48,72.47,-66.29,35.56,19.66,0.29,9.49,0.92,-0.01,0.05,0.09,9.48,2.42,3.39,-0.02,-0.02,-0.06
91,56,58,9,19,-0.13,85.59,88.3,-64.99,34.82,20.96,0.02,9.44,0.73,-0.01,0.03,0.07,9.43,2.51,3.61,-0.06,-0.03,-0.06
91,56,72,13,1,-0.93,85.14,79.12,-65.31,34.64,20.72,0.15,9.38,0.8,0,0,0.05,9.34,2.44,3.53,-0.1,-0.01,-0.08
91,56,64,22,15,-1.55,84.79,73.42,-65.78,36.09,19.98,0.25,9.35,0.85,0,-0.03,0.07,9.26,2.45,3.37,-0.1,-0.05,-0.09
91,56,84,15,39,-1.78,86.17,65.04,-64.95,38.17,20.18,0.29,9.3,0.62,0.01,-0.05,0.08,9.19,2.66,3.38,-0.09,-0.05,-0.1
91,56,54,29,45,-2.43,85.7,60.46,-65.62,38.84,19.44,0.41,9.56,0.72,0.01,-0.09,0.07,9.43,2.68,3.33,-0.11,-0.09,-0.11
